ID,电话,婚姻,学历
ID-027301,18881793933,未婚,高中
ID-003442,15812932799,已婚,初中
ID-027577,18989711616,已婚,高中
ID-023550,18980769108,未婚,研究生
ID-011268,13953839382,已婚,高中
ID-017565,15194461599,未婚,本科
ID-010877,18529945519,已婚,初中
ID-014229,13959808848,已婚,初中
ID-028114,18999955193,未婚,本科
ID-022380,15114864492,未婚,本科
ID-024836,18883830907,未婚,研究生
ID-020659,15345104935,未婚,大专
ID-020423,18922544258,未婚,研究生
ID-021406,13937898086,未婚,初中
ID-026106,15824669676,未婚,研究生
ID-019577,18914829281,已婚,初中
ID-015890,18840441114,未婚,大专
ID-015683,18817727538,未婚,大专
ID-006990,13947271136,已婚,大专
ID-006869,13682715552,未婚,大专
ID-015080,18855343928,未婚,本科
ID-006095,18510743984,未婚,大专
ID-024964,18936441250,已婚,高中
ID-017978,13685782566,未婚,大专
ID-023750,18524901172,未婚,高中
ID-000457,15883402020,未婚,研究生
ID-001847,15829859778,未婚,高中
ID-027973,15806676286,未婚,研究生
ID-002672,15021135824,未婚,本科
ID-006265,18926013223,已婚,研究生
ID-022230,15026222355,未婚,本科
ID-017647,13983824530,已婚,大专
ID-025226,18963965060,未婚,初中
ID-024946,13689899310,未婚,本科
ID-024293,15137428824,已婚,高中
ID-008088,13690974593,未婚,高中
ID-000525,18844215325,已婚,高中
ID-023579,15811971839,已婚,大专
ID-016692,15314780926,已婚,本科
ID-022965,13914864088,已婚,高中
ID-009517,15886068729,未婚,研究生
ID-008509,18900910560,已婚,初中
ID-025608,15196881977,未婚,大专
ID-007878,18858389937,已婚,大专
ID-029048,13927798389,已婚,高中
ID-017934,15129158444,已婚,大专
ID-027933,18933910451,已婚,高中
ID-020956,15370174520,未婚,初中
ID-006227,13974177133,未婚,高中
ID-012219,15068080786,已婚,本科
ID-010975,15340562397,未婚,初中
ID-022519,18931235112,已婚,初中
ID-022430,18931810271,已婚,大专
ID-026741,13604529419,已婚,高中
ID-014667,15138526775,未婚,大专
ID-006685,15081786346,未婚,大专
ID-005513,15169311559,未婚,初中
ID-011438,18896325590,已婚,大专
ID-004847,18543143496,未婚,高中
ID-022885,13973519192,未婚,高中
ID-021300,15129243200,已婚,本科
ID-000949,13993126037,未婚,大专
ID-007698,18848091329,已婚,大专
ID-019081,13964791215,已婚,高中
ID-021075,18842129481,已婚,初中
ID-003044,13991470172,已婚,初中
ID-009222,15840202707,未婚,初中
ID-001299,15318626569,未婚,初中
ID-004272,15083091336,未婚,研究生
ID-005067,15161336108,已婚,初中
ID-012874,15392652571,已婚,初中
ID-000614,13983589846,未婚,本科
ID-011792,15813958687,已婚,本科
ID-026345,13643890486,已婚,本科
ID-025929,15197804455,未婚,高中
ID-019052,13697222058,已婚,本科
ID-004748,18583886671,未婚,本科
ID-014625,18937561332,未婚,高中
ID-007848,15007238769,已婚,高中
ID-012285,18563365967,未婚,高中
ID-020532,15898099781,已婚,初中
ID-007888,15353566926,未婚,初中
ID-015268,18532146909,已婚,初中
ID-016414,15855730823,已婚,高中
ID-020087,18903931016,未婚,初中
ID-002877,18507248850,未婚,高中
ID-028419,18532887330,已婚,初中
ID-007393,15301841446,未婚,高中
ID-009545,18977858850,未婚,初中
ID-028531,15069367269,未婚,本科
ID-012923,18905673109,未婚,大专
ID-028576,15804043642,未婚,研究生
ID-028503,15395681840,未婚,高中
ID-017248,15020379672,已婚,大专
ID-028347,18851783121,未婚,大专
ID-017616,15152559329,已婚,初中
ID-007559,15843615362,未婚,研究生
ID-001892,13632153686,未婚,大专
ID-010406,15828973325,已婚,研究生
ID-016344,15188333948,已婚,大专
ID-012727,18913171752,已婚,研究生
ID-002989,18949193165,已婚,大专
ID-020356,13608172912,已婚,研究生
ID-009105,18908148496,未婚,研究生
ID-002708,18578570483,未婚,初中
ID-002583,15133755494,已婚,高中
ID-027177,13662990762,已婚,本科
ID-006353,18972146817,未婚,研究生
ID-029407,15869990363,未婚,高中
ID-003217,18877449775,未婚,本科
ID-013770,13623355537,未婚,高中
ID-023797,15807383002,未婚,本科
ID-024195,18871098603,未婚,研究生
ID-011133,15158555438,已婚,高中
ID-029546,15173690498,未婚,初中
ID-006541,13655027482,已婚,初中
ID-023084,15092979487,未婚,大专
ID-001787,18958442452,已婚,高中
ID-027248,18571467435,未婚,研究生
ID-029214,18557403579,未婚,初中
ID-008168,13627343286,已婚,大专
ID-026502,18843415312,已婚,大专
ID-004633,18800533923,未婚,初中
ID-011030,18543084821,已婚,初中
ID-015266,15846722786,已婚,高中
ID-010771,18982502813,未婚,大专
ID-022147,18872289252,已婚,高中
ID-006581,15109641193,已婚,研究生
ID-001654,15834031493,未婚,大专
ID-005970,15376608608,已婚,本科
ID-016480,15851295127,未婚,初中
ID-004890,18926233115,已婚,研究生
ID-003673,18525624378,未婚,大专
ID-017098,18979870627,未婚,研究生
ID-025890,15109130631,未婚,研究生
ID-029258,15814343749,未婚,本科
ID-017537,15382519620,已婚,研究生
ID-018619,15801350243,已婚,高中
ID-020826,18820198335,未婚,大专
ID-028462,15814513867,未婚,大专
ID-023083,13678279653,已婚,高中
ID-021570,15192239152,已婚,高中
ID-021013,18822799562,已婚,初中
ID-001591,13612212988,已婚,初中
ID-004520,13636629191,未婚,初中
ID-016263,15367876677,已婚,研究生
ID-012604,18956272582,未婚,初中
ID-026025,18896818353,已婚,大专
ID-017548,18994908168,已婚,高中
ID-027127,18957382246,已婚,大专
ID-005036,15305496298,已婚,初中
ID-009608,18977087347,未婚,本科
ID-024873,15824513266,未婚,研究生
ID-012233,15121381485,未婚,初中
ID-006664,15062515098,未婚,初中
ID-020605,13910754669,未婚,初中
ID-019148,18821991022,已婚,研究生
ID-026135,18956910399,未婚,高中
ID-024913,18913063716,未婚,初中
ID-015908,13617386829,未婚,大专
ID-023689,18871468696,未婚,大专
ID-027774,18954923491,已婚,研究生
ID-022890,15098227904,未婚,大专
ID-003330,15826694446,已婚,大专
ID-016578,15899790008,已婚,研究生
ID-022892,15837468339,未婚,研究生
ID-007424,18868775751,已婚,本科
ID-015553,18992510449,已婚,初中
ID-026375,18987837871,已婚,大专
ID-021455,15086419395,未婚,本科
ID-026897,15188795414,未婚,大专
ID-015858,18958160622,已婚,大专
ID-028680,13606828409,已婚,高中
ID-020833,15378016360,未婚,研究生
ID-009970,13916270350,未婚,初中
ID-023560,18532373404,未婚,大专
ID-009050,18571819265,未婚,本科
ID-000266,15819771642,已婚,研究生
ID-025923,15382454091,已婚,大专
ID-010796,13907635901,未婚,本科
ID-015212,13650491547,已婚,大专
ID-007481,18990134240,已婚,高中
ID-007292,15179546513,未婚,大专
ID-010655,15806300359,已婚,高中
ID-005632,15091016956,已婚,初中
ID-003898,15195961918,未婚,本科
ID-030000,15353993412,已婚,高中
ID-029386,15020674333,已婚,研究生
ID-023942,13990698082,已婚,初中
ID-005499,15315035093,未婚,大专
ID-021881,13902670739,未婚,本科
ID-018412,18562083154,已婚,本科
ID-012780,15050076343,已婚,本科
ID-012997,15083269436,未婚,本科
ID-024695,15880364245,未婚,研究生
ID-025503,15873444796,未婚,本科
ID-024368,15877066938,未婚,初中
ID-003244,13674577178,已婚,研究生
ID-018516,15172860298,未婚,大专
ID-020831,15028645514,已婚,研究生
ID-026059,15174458257,未婚,高中
ID-006422,13630461527,已婚,大专
ID-024969,15150588597,已婚,初中
ID-010533,13915970398,未婚,高中
ID-016293,15176733602,已婚,高中
ID-001720,15387802315,已婚,大专
ID-021041,15324493540,未婚,高中
ID-027481,15019767927,未婚,高中
ID-010272,13937504451,未婚,大专
ID-021502,13961546266,已婚,高中
ID-016987,18565584019,未婚,大专
ID-006772,13924521006,已婚,本科
ID-013436,18542691371,未婚,本科
ID-012669,15337622384,未婚,本科
ID-012831,13600566206,未婚,初中
ID-009641,18561840982,未婚,大专
ID-024361,15143557557,未婚,初中
ID-010062,18822112843,已婚,大专
ID-018930,18806980563,未婚,研究生
ID-009454,15132625730,未婚,初中
ID-024847,15344743603,未婚,本科
ID-004751,13602159247,未婚,高中
ID-011118,18859297359,未婚,大专
ID-002870,15316062059,未婚,研究生
ID-007976,15317363687,未婚,初中
ID-001222,18911077626,已婚,本科
ID-027212,15044914576,未婚,高中
ID-023364,18886391203,已婚,大专
ID-014211,18941043173,已婚,初中
ID-017062,13919818404,未婚,初中
ID-021541,15893887605,未婚,大专
ID-011068,18878614959,已婚,初中
ID-027421,18931547862,未婚,研究生
ID-014228,15127132394,已婚,大专
ID-007223,13940349923,未婚,初中
ID-019378,15157965986,已婚,高中
ID-022448,18889170692,未婚,研究生
ID-003429,15349402102,未婚,初中
ID-010549,15889357362,已婚,初中
ID-014461,18558921193,未婚,研究生
ID-001738,13955940410,已婚,研究生
ID-007148,18552897790,已婚,本科
ID-010237,18865377820,未婚,初中
ID-020313,13679711938,未婚,研究生
ID-006057,15117073729,已婚,本科
ID-029103,13903654453,已婚,本科
ID-024597,18930669269,未婚,高中
ID-017658,18991537712,未婚,大专
ID-023187,18980976604,未婚,大专
ID-013550,18952359260,未婚,本科
ID-026624,13942242031,未婚,研究生
ID-029522,15381312377,已婚,本科
ID-028888,18895299415,未婚,高中
ID-012296,13974812717,已婚,大专
ID-013828,15876563545,未婚,本科
ID-005539,15056883617,已婚,研究生
ID-022992,13681464091,已婚,初中
ID-012667,18578012777,未婚,本科
ID-024632,15176959128,已婚,初中
ID-020450,18884328027,未婚,本科
ID-024216,13964380714,已婚,大专
ID-018797,15070223845,已婚,初中
ID-013353,18565554589,未婚,研究生
ID-003368,15866785334,已婚,研究生
ID-019871,18531333015,已婚,高中
ID-014242,15337986087,已婚,研究生
ID-025954,18876032748,未婚,初中
ID-016858,15147439944,已婚,高中
ID-020744,13922455763,已婚,大专
ID-024497,15050457433,已婚,本科
ID-004206,13689971623,未婚,大专
ID-010697,13967986240,未婚,大专
ID-009361,15051885832,已婚,大专
ID-010428,13684188397,已婚,初中
ID-017136,15306251195,未婚,研究生
ID-007984,18893666823,未婚,初中
ID-029100,13940586145,已婚,研究生
ID-009840,15380103123,未婚,研究生
ID-013673,15371927841,未婚,本科
ID-005644,13615602127,已婚,高中
ID-013865,15800208858,未婚,高中
ID-029971,18500700491,未婚,大专
ID-001723,15849136068,已婚,高中
ID-024446,13907562534,未婚,大专
ID-010007,13905046283,未婚,大专
ID-000008,15114422556,未婚,研究生
ID-005148,15382551928,未婚,初中
ID-029140,18952654483,已婚,本科
ID-009663,15143197207,已婚,研究生
ID-015685,15195005599,未婚,大专
ID-020714,18933677997,已婚,高中
ID-006125,15095618187,已婚,本科
ID-011082,18555556983,未婚,研究生
ID-020534,18952350233,已婚,大专
ID-005164,15882364654,未婚,本科
ID-014672,15154421515,已婚,高中
ID-009034,13941773834,未婚,本科
ID-011025,15069892393,已婚,高中
ID-010223,18565722960,已婚,初中
ID-020641,15175610168,已婚,本科
ID-027705,18934634125,未婚,高中
ID-020022,15083027689,已婚,本科
ID-009477,15861988123,未婚,研究生
ID-009819,13630942706,已婚,本科
ID-025507,15035016874,已婚,研究生
ID-010064,15181776556,未婚,初中
ID-026364,15856249188,未婚,初中
ID-015615,15125572557,已婚,初中
ID-026149,13601586115,已婚,研究生
ID-012941,15085132407,未婚,高中
ID-028496,18890937197,未婚,本科
ID-007738,18874647328,已婚,本科
ID-010075,15187519874,已婚,研究生
ID-013940,13941878841,未婚,本科
ID-027109,13602391757,已婚,初中
ID-005250,13685947220,未婚,研究生
ID-026514,15037727154,未婚,研究生
ID-001020,13646383805,未婚,初中
ID-027526,15878213115,未婚,大专
ID-003876,15106813087,已婚,研究生
ID-022404,15803201697,已婚,本科
ID-027392,13980362780,未婚,本科
ID-022927,15359863588,未婚,高中
ID-005438,13963774472,已婚,研究生
ID-007630,15078782262,未婚,研究生
ID-021070,15892840326,已婚,高中
ID-010095,15843121419,未婚,研究生
ID-009265,13986591830,已婚,初中
ID-029802,18887752351,未婚,本科
ID-013607,15303196043,未婚,研究生
ID-009008,13983187140,未婚,研究生
ID-017100,13944514394,未婚,大专
ID-001146,18890761247,已婚,大专
ID-010151,18825344102,未婚,本科
ID-004687,15168826808,未婚,高中
ID-001582,15393448718,未婚,初中
ID-029966,13635724005,已婚,本科
ID-015489,15155008402,未婚,大专
ID-027563,18882239437,已婚,大专
ID-014309,18512811566,未婚,研究生
ID-012576,13655907618,未婚,高中
ID-021423,15340449342,已婚,初中
ID-010103,18804465677,未婚,初中
ID-009066,18918288521,未婚,大专
ID-018515,18855835868,已婚,高中
ID-010019,15327455694,未婚,高中
ID-009292,18541257175,已婚,研究生
ID-029817,15005439033,已婚,初中
ID-023860,13905375297,已婚,本科
ID-017020,15141937523,已婚,研究生
ID-017101,15309902692,未婚,大专
ID-027163,13956293231,已婚,大专
ID-004329,18580926828,未婚,初中
ID-016747,15164332905,已婚,高中
ID-026958,13651346510,已婚,大专
ID-019392,18567197137,未婚,大专
ID-013964,18596808043,已婚,本科
ID-017073,18560890111,未婚,大专
ID-002441,13645167773,未婚,本科
ID-006191,15391339772,未婚,大专
ID-009426,18878058288,已婚,大专
ID-014607,15155662450,未婚,高中
ID-027879,18975974840,未婚,高中
ID-001181,15380962634,未婚,高中
ID-026596,18885266146,已婚,本科
ID-017609,15354094232,未婚,高中
ID-000936,13632144045,未婚,大专
ID-021141,18880922860,已婚,研究生
ID-008765,18597069847,未婚,大专
ID-017598,18508673283,未婚,大专
ID-006765,13997131207,已婚,大专
ID-018511,13623820114,已婚,高中
ID-003662,15309880365,未婚,大专
ID-027913,13953126879,已婚,初中
ID-019124,18517454487,未婚,大专
ID-025433,13955631784,已婚,大专
ID-016191,15373191984,已婚,高中
ID-021063,13670587215,已婚,大专
ID-010809,15172546965,未婚,初中
ID-002890,18554260101,已婚,大专
ID-013901,18838934915,已婚,初中
ID-002029,15014468088,未婚,大专
ID-016993,15037924036,未婚,高中
ID-010705,18523001388,未婚,高中
ID-018259,15333835420,已婚,研究生
ID-020350,15828439137,未婚,初中
ID-029508,13660570709,已婚,初中
ID-000629,13679011801,未婚,研究生
ID-002292,18914067504,已婚,研究生
ID-012591,15880632789,已婚,高中
ID-016540,15082208584,已婚,高中
ID-021184,15023312507,已婚,高中
ID-012613,18864138753,已婚,研究生
ID-014872,18982957945,已婚,大专
ID-027956,18883662632,未婚,本科
ID-026610,13930917074,已婚,研究生
ID-018876,18984259917,未婚,初中
ID-004932,15156390983,已婚,研究生
ID-001588,15112762780,已婚,研究生
ID-011750,18858622344,已婚,初中
ID-027294,13997091358,已婚,本科
ID-007320,15118818423,已婚,本科
ID-017468,15339867463,未婚,本科
ID-004098,13618399672,未婚,研究生
ID-008288,15053580511,已婚,高中
ID-026336,13677547833,未婚,研究生
ID-024112,18548709313,已婚,大专
